gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
ST3GAL5	0.893913427376733	3.38647750575567	8.31394910894771	4.75107585552811e-11	6.47619149867036e-07	14.9114699796857	FALSE
ARF5	1.32875591015068	3.67403037114476	8.06966918747484	1.14035282077545e-10	7.7720746499951e-07	14.0864319214419	TRUE
PTPRC	2.96121924433573	4.50282098707388	7.87153601963614	2.32666994719559e-10	1.05716126834077e-06	13.4136972286024	TRUE
UNC93B1	0.912738066079914	3.17923913145533	7.51384652723137	8.47651160312425e-10	2.88858324155467e-06	12.1924576619113	FALSE
ESM1	-1.89733854216932	4.33567651503032	-7.36551932280698	1.45132413413657e-09	3.9565998544831e-06	11.6839685403182	TRUE
DUS2	0.647243217241559	4.35742205084582	7.25215485773025	2.19012794586833e-09	4.55203854729141e-06	11.2947067041588	FALSE
IGLJ2	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
BMS1P20	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
CAB39L	0.735397769676919	3.15064636516051	7.16069040531677	3.05319756415563e-09	4.6242373330006e-06	10.9803172966284	FALSE
MYH7B	0.147137496489255	2.53307091997255	7.07576232703426	4.15711488084456e-09	5.66656329407922e-06	10.688184115828	FALSE
CFAP46	-0.200809868604572	2.48776314046951	-6.93871829953235	6.84169159972915e-09	8.22999318423237e-06	10.216469206043	FALSE
MYOZ1	-2.38652892660197	4.46529324654775	-6.92295631672648	7.24524379801838e-09	8.22999318423237e-06	10.1621975482979	TRUE
EFNB1	-0.546376283641386	3.0673490007038	-6.8748530978538	8.6300591486043e-09	9.04894894266347e-06	9.99655366919335	FALSE
PCOLCE2	-4.46828227410722	9.27649475833705	-6.78050086651225	1.21619643887688e-08	1.18414097559505e-05	9.67161373312352	TRUE
MYL11	-0.29546300077007	2.56022135447478	-6.75982952096837	1.31112111932991e-08	1.1914594651724e-05	9.6004222421574	FALSE
MDFI	-0.300625324113303	2.93652680934528	-6.72941441508163	1.46441402067058e-08	1.24758921973504e-05	9.49567571605983	FALSE
NKX2-1	-0.41840862336661	3.1065469219283	-6.68451599587356	1.72402589897801e-08	1.38005427678284e-05	9.34105939799809	FALSE
DRD1	-0.13729609515246	2.73152643232688	-6.66925009392395	1.8223884514776e-08	1.38005427678284e-05	9.28849202313926	FALSE
MAPK13	1.31869715477599	4.32780827129634	6.6531887580611	1.93193283163855e-08	1.38600928568764e-05	9.23318817598157	TRUE
CHAD	-0.222166618770959	2.7019281179338	-6.60964412585552	2.26314647152922e-08	1.53069771741175e-05	9.08326737890137	FALSE
